T,Y,X3,TX3,P3,X2,TX2,P2,X1,TX1,P1,
1,54,0,0,0,0,0,0,0,0,0,
2,54,0,0,0,0,0,0,0,0,0,
3,54,0,0,0,0,0,0,0,0,0,
4,54,0,0,0,0,0,0,0,0,0,
5,54,0,0,0,0,0,0,0,0,0,
6,54,0,0,0,0,0,0,0,0,0,
7,54,0,0,0,0,0,0,0,0,0,
8,52,0,0,0,0,0,0,0,0,0,
9,52,0,0,0,0,0,0,0,0,0,
10,52,0,0,0,0,0,0,0,0,0,
11,52,0,0,0,0,0,0,0,0,0,
12,57,0,0,0,0,0,0,0,0,0,
13,62,0,0,0,0,0,0,0,0,0,
14,65,0,0,0,0,0,0,0,0,0,
15,65,0,0,0,0,0,0,0,0,0,
16,68,0,0,0,0,0,0,0,0,0,
17,68,0,0,0,0,0,0,0,0,0,
18,65,0,0,0,0,0,0,0,0,0,
19,65,0,0,0,0,0,0,0,0,0,
20,65,0,0,0,0,0,0,0,0,0,
21,65,0,0,0,0,0,0,0,0,0,
22,65,0,0,0,0,0,0,0,0,0,
23,62,0,0,0,0,0,0,0,0,0,
24,62,0,0,0,0,0,0,0,0,0,
25,65,0,0,0,0,0,0,0,0,0,
26,65,0,0,0,0,0,0,0,0,0,
27,65,0,0,0,0,0,0,0,0,0,
28,65,0,0,0,0,0,0,0,0,0,
29,65,0,0,0,0,0,0,0,0,0,
30,66,0,0,0,0,0,0,0,0,0,
31,66,0,0,0,0,0,0,0,0,0,
32,69,0,0,0,0,0,0,0,0,0,
33,69,0,0,0,0,0,0,0,0,0,
34,69,0,0,0,0,0,0,0,0,0,
35,69,0,0,0,0,0,0,0,0,0,
36,66,0,0,0,0,0,0,0,0,0,
37,66,0,0,0,0,0,0,0,0,0,
38,66,0,0,0,0,0,0,0,0,0,
39,66,0,0,0,0,0,0,0,0,0,
40,66,0,0,0,0,0,0,0,0,0,
41,66,0,0,0,0,0,0,0,0,0,
42,69,0,0,0,0,0,0,0,0,0,
43,69,0,0,0,0,0,0,0,0,0,
44,69,0,0,0,0,0,0,0,0,0,
45,69,0,0,0,0,0,0,0,0,0,
46,69,0,0,0,0,0,0,0,0,0,
47,69,0,0,0,0,0,0,0,0,0,
48,69,0,0,0,0,0,0,0,0,0,
49,72,0,0,0,0,0,0,0,0,0,
50,75,0,0,0,0,0,0,0,0,0,
51,78,0,0,0,0,0,0,0,0,0,
52,78,0,0,0,0,0,0,0,0,0,
53,78,0,0,0,0,0,0,0,0,0,
54,78,0,0,0,0,0,0,0,0,0,
55,78,0,0,0,0,0,0,0,0,0,
56,78,0,0,0,0,0,0,0,0,0,
57,78,0,0,0,0,0,0,0,0,0,
58,78,0,0,0,0,0,0,0,0,0,
59,78,0,0,0,0,0,0,0,0,0,
60,78,0,0,0,0,0,0,0,0,0,
