T,Y,X3,P3,TX3,X2,P2,TX2,X1,P1,TX1
1,40,0,0,0,0,0,0,0,0,0
2,44,0,0,0,0,0,0,0,0,0
3,44,0,0,0,0,0,0,0,0,0
4,47,0,0,0,0,0,0,0,0,0
5,49,0,0,0,0,0,0,0,0,0
6,49,0,0,0,0,0,0,0,0,0
7,49,0,0,0,0,0,0,0,0,0
8,45,0,0,0,0,0,0,0,0,0
9,45,0,0,0,0,0,0,0,0,0
10,43,0,0,0,0,0,0,0,0,0
11,48,0,0,0,0,0,0,0,0,0
12,53,0,0,0,0,0,0,0,0,0
13,57,0,0,0,0,0,0,0,0,0
14,61,0,0,0,0,0,0,0,0,0
15,63,0,0,0,0,0,0,0,0,0
16,63,0,0,0,0,0,0,0,0,0
17,63,0,0,0,0,0,0,0,0,0
18,63,0,0,0,0,0,0,0,0,0
19,61,0,0,0,0,0,0,0,0,0
20,59,0,0,0,0,0,0,0,0,0
21,57,0,0,0,0,0,0,0,0,0
22,58,0,0,0,0,0,0,0,0,0
23,58,0,0,0,0,0,0,0,0,0
24,58,0,0,0,0,0,0,0,0,0
25,60,0,0,0,0,0,0,0,0,0
26,60,0,0,0,0,0,0,0,0,0
27,60,0,0,0,0,0,0,0,0,0
28,60,0,0,0,0,0,0,0,0,0
29,60,0,0,0,0,0,0,0,0,0
30,61,0,0,0,0,0,0,0,0,0
31,63,0,0,0,0,0,0,0,0,0
32,65,0,0,0,0,0,0,0,0,0
33,65,0,0,0,0,0,0,0,0,0
34,65,0,0,0,0,0,0,0,0,0
35,65,0,0,0,0,0,0,0,0,0
36,63,0,0,0,0,0,0,0,0,0
37,61,0,0,0,0,0,0,0,0,0
38,62,0,0,0,0,0,0,0,0,0
39,61,0,0,0,0,0,0,0,0,0
40,63,0,0,0,0,0,0,0,0,0
41,63,0,0,0,0,0,0,0,0,0
42,65,0,0,0,0,0,0,0,0,0
43,65,0,0,0,0,0,0,0,0,0
44,65,0,0,0,0,0,0,0,0,0
45,65,0,0,0,0,0,0,0,0,0
46,62,0,0,0,0,0,0,0,0,0
47,61,0,0,0,0,0,0,0,0,0
48,63,0,0,0,0,0,0,0,0,0
49,64,0,0,0,0,0,0,0,0,0
50,67,0,0,0,0,0,0,0,0,0
51,69,0,0,0,0,0,0,0,0,0
52,71,0,0,0,0,0,0,0,0,0
53,71,0,0,0,0,0,0,0,0,0
54,71,0,0,0,0,0,0,0,0,0
55,71,0,0,0,0,0,0,0,0,0
56,71,0,0,0,0,0,0,0,0,0
57,71,0,0,0,0,0,0,0,0,0
58,72,0,0,0,0,0,0,0,0,0
59,72,0,0,0,0,0,0,0,0,0
60,72,0,0,0,0,0,0,0,0,0
61,72,0,0,0,0,0,0,0,0,0
62,72,0,0,0,0,0,0,0,0,0
63,72,0,0,0,0,0,0,0,0,0
64,72,0,0,0,0,0,0,0,0,0
65,72,0,0,0,0,0,0,0,0,0
66,74,0,0,0,0,0,0,0,0,0
67,75,0,0,0,0,0,0,0,0,0
68,75,0,0,0,0,0,0,0,0,0
69,75,0,0,0,0,0,0,0,0,0
70,75,0,0,0,0,0,0,0,0,0
71,75,0,0,0,0,0,0,0,0,0
72,75,0,0,0,0,0,0,0,0,0
73,69,0,0,0,0,0,0,0,0,0
74,75,0,0,0,0,0,0,0,0,0
75,71,0,0,0,0,0,0,0,0,0
76,69,0,0,0,0,0,0,0,0,0
77,69,0,0,0,0,0,0,0,0,0
78,67,0,0,0,0,0,0,0,0,0
79,67,0,0,0,0,0,0,0,0,0
80,67,0,0,0,0,0,0,0,0,0
81,67,0,0,0,0,0,0,0,0,0
82,67,0,0,0,0,0,0,0,0,0
83,67,0,0,0,0,0,0,0,0,0
84,61,0,0,0,0,0,0,0,0,0
85,59,0,0,0,0,0,0,0,0,0
86,57,0,0,0,0,0,0,0,0,0
87,57,0,0,0,0,0,0,0,0,0
88,57,0,0,0,0,0,0,0,0,0
89,57,0,0,0,0,0,0,0,0,0
90,55,0,0,0,0,0,0,0,0,0
91,58,0,0,0,0,0,0,0,0,0
92,60,0,0,0,0,0,0,0,0,0
93,62,0,0,0,0,0,0,0,0,0
94,70,0,0,0,0,0,0,0,0,0
95,64,0,0,0,0,0,0,0,0,0
96,64,0,0,0,0,0,0,0,0,0
97,66,0,0,0,0,0,0,0,0,0
98,70,0,0,0,0,0,0,0,0,0
99,72,0,0,0,0,0,0,0,0,0
100,75,0,0,0,0,0,0,0,0,0
101,77,0,0,0,0,0,0,0,0,0
102,79,0,0,0,0,0,0,1,1,102
103,79,0,0,0,0,0,0,1,2,103
104,77,0,0,0,0,0,0,1,3,104
105,77,0,0,0,0,0,0,1,4,105
106,67,0,0,0,0,0,0,1,5,106
107,67,0,0,0,0,0,0,1,6,107
108,71,0,0,0,0,0,0,1,7,108
109,76,0,0,0,0,0,0,1,8,109
110,72,0,0,0,0,0,0,1,9,110
111,72,0,0,0,0,0,0,1,10,111
112,72,0,0,0,0,0,0,1,11,112
113,65,0,0,0,0,0,0,1,12,113
114,61,0,0,0,0,0,0,1,13,114
115,61,0,0,0,0,0,0,1,14,115
116,64,0,0,0,0,0,0,1,15,116
117,66,0,0,0,0,0,0,1,16,117
118,67,0,0,0,0,0,0,1,17,118
119,67,0,0,0,0,0,0,1,18,119
